section,group,name,note,batch_1,batch_2,batch_3
input,meta,case_id,,golden_120,system_layer_variant,fps_144_rotation
input,meta,description,,Baseline golden case,System and layer override case,144 Hz with layer overrides
input,panel,panel.panel_w,px,1080,1440,1080
input,panel,panel.panel_h,px,2340,2560,2340
input,panel,panel.fps,Hz,120,120,144
input,panel,panel.disp_bpp,bpp,30,30,30
input,panel,panel.vbp,lines,28,32,28
input,panel,panel.vfp,lines,28,32,28
input,panel,panel.vsa,lines,4,4,4
input,panel,panel.dsc_mode,,2slice_dual,2slice_dual,2slice_dual
input,panel,panel.dst_y,lines,0,0,0
input,system,system.PTW,ratio,0.3,0.45,0.3
input,system,system.MO_derating,ratio,0.3,0.25,0.3
input,system,system.MO_entries,count,64,96,64
input,system,system.MO_entry_bytes,B,64,64,64
input,system,system.OF_lines,lines,2,3,2
input,system,system.margin,ratio,1.13,1.2,1.13
input,system,system.bus_width_B,B,32,32,32
input,system,system.bus_util,ratio,0.7,0.75,0.7
input,system,system.max_bus_port_BW_MBs,MB/s,5500,9000,5500
input,system,system.ppc_comp,px/clk,4,4,4
input,system,system.ppc_scaler,px/clk,4,4,4
input,system,system.ppc_outfifo,px/clk,2,2,2
input,system,system.ppc_pbld,px/clk,2,2,2
input,system,system.ppc_ai_scaler,px/clk,2,2,2
input,system,system.ppc_wb,px/clk,2,2,2
input,system,system.vtap_scaler,taps,4,4,4
input,system,system.vtap_outfifo,taps,2,2,2
input,system,system.stream_clk_overhead,ratio,1.13,1.13,1.13
input,system,system.ptw_group_mode,,dpuf0,rotation_layers,dpuf0
input,system,system.ai_scaler_enabled,,False,True,False
input,system,system.wb_enabled,,False,True,False
input,system,system.dpuf_xres,px; blank uses panel default,,1440,
input,system,system.dpuf_yres,px; blank uses panel default,,2560,
input,system,system.dpu_xres,px; blank uses panel default,,1440,
input,system,system.dpu_yres,px; blank uses panel default,,2560,
input,system,system.wb_xres,px,0,1920,0
input,system,system.wb_yres,px,0,1080,0
input,layers[0],layers[0].name,,L1_Camera,L1_Camera_1080p,L1_Camera
input,layers[0],layers[0].fmt,,YUV_8B,RGB_4B,YUV_8B
input,layers[0],layers[0].src_w,px,3840,1920,3840
input,layers[0],layers[0].src_h,px,2160,1080,2160
input,layers[0],layers[0].dst_w,px; blank uses source default,,1440,
input,layers[0],layers[0].dst_h,px; blank uses source default,,810,
input,layers[0],layers[0].compressed,,False,True,False
input,layers[0],layers[0].compression_mode,,sajc,sajc,sajc
input,layers[0],layers[0].hdr,,False,False,False
input,layers[0],layers[0].scaling,,False,True,False
input,layers[0],layers[0].scale_v,ratio,1.0,1.5,1.0
input,layers[0],layers[0].rotation,,True,False,True
input,layers[0],layers[0].dpuf,,0,1,0
input,layers[0],layers[0].stream_coeff,,3.0,1.5,3.0
input,layers[1],layers[1].name,,L5_UI,L5_UI_HDR,L5_UI
input,layers[1],layers[1].fmt,,RGB_4B,RGB_8B_FP16,RGB_4B
input,layers[1],layers[1].src_w,px,1080,1440,1080
input,layers[1],layers[1].src_h,px,2340,2560,2340
input,layers[1],layers[1].dst_w,px; blank uses source default,,1440,
input,layers[1],layers[1].dst_h,px; blank uses source default,,2560,
input,layers[1],layers[1].compressed,,True,True,True
input,layers[1],layers[1].compression_mode,,sajc,sajc,sajc
input,layers[1],layers[1].hdr,,False,True,False
input,layers[1],layers[1].scaling,,False,False,False
input,layers[1],layers[1].scale_v,ratio,1.0,1.0,1.0
input,layers[1],layers[1].rotation,,False,False,False
input,layers[1],layers[1].dpuf,,0,1,0
input,layers[1],layers[1].stream_coeff,,2.0,2.5,2.0
input,layers[2],layers[2].name,,L9_PIP,L9_PIP,L9_PIP_720p
input,layers[2],layers[2].fmt,,YUV_8B,YUV_8B,YUV_8B
input,layers[2],layers[2].src_w,px,2560,2560,1280
input,layers[2],layers[2].src_h,px,1440,1440,720
input,layers[2],layers[2].dst_w,px; blank uses source default,,,
input,layers[2],layers[2].dst_h,px; blank uses source default,,,
input,layers[2],layers[2].compressed,,False,False,False
input,layers[2],layers[2].compression_mode,,sajc,sajc,sajc
input,layers[2],layers[2].hdr,,False,False,False
input,layers[2],layers[2].scaling,,False,False,True
input,layers[2],layers[2].scale_v,ratio,1.0,1.0,2.0
input,layers[2],layers[2].rotation,,True,True,True
input,layers[2],layers[2].dpuf,,1,1,1
input,layers[2],layers[2].stream_coeff,,4.0,4.0,2.0
summary,term,DPU_IB_MBps,MB/s,3735.5845959183675,5273.690111999998,4317.872831999999
summary,term,binding_term,,IB_outfifo_preload,IB_streaming,IB_streaming
summary,status,status,,ok,ok,ok
summary,status,error,,,,
breakdown,timing,V_total,,2400,2628,2400
breakdown,timing,T_line_ns,ns,3472.22,3170.98,2893.52
breakdown,timing,V_blank_time_ns,ns,194444.44,202942.67,162037.04
breakdown,timing,start_time_ns,ns,0.00,0.00,0.00
breakdown,timing,available_time_ns,ns,194444.44,202942.67,162037.04
breakdown,shared,MO_buf_bytes,B,8192,6144,8192
breakdown,shared,DSC_data_bytes,B,10125.00,13500.00,10125.00
breakdown,shared,DSIM_data_bytes,B,4050.00,5400.00,4050.00
breakdown,shared,OUTFIFO_data_bytes,B,8100.00,16200.00,8100.00
breakdown,shared,Shared_data_bytes,B,22275.00,35100.00,22275.00
breakdown,shared,Total_pipeline_data_bytes,B,528274.29,322560.00,437211.43
breakdown,shared,Total_preload_data_bytes,B,558741.29,363804.00,467678.43
breakdown,shared,outfifo_demanded_MBps,MB/s,2873.53,1792.64,2886.24
breakdown,streaming,dpuf_clk_MHz,MHz,342.69,499.88,411.23
breakdown,streaming,stream_sum_MBps,MB/s; F1/F2,3084.19,4373.91,3701.03
breakdown,streaming,PTW_base_MBps,MB/s; F1/F2,1713.44,1999.50,2056.13
breakdown,streaming,PTW_MBps,MB/s; F1/F2,514.03,899.78,616.84
breakdown,streaming,ptw_group_mode,F1/F2,dpuf0,rotation_layers,dpuf0
breakdown,clock,ACLK1_MHz,MHz; F6/F7,85.67,235.93,102.81
breakdown,clock,ACLK2_MHz,MHz; F6/F7,88.84,57.36,106.61
breakdown,clock,ACLK3_MHz,MHz; F6/F7,245.54,375.00,245.54
breakdown,clock,ACLK4_MHz,MHz; F6/F7,171.34,265.42,205.61
breakdown,clock,ACLK5_MHz,MHz; F6/F7,0.00,265.42,0.00
breakdown,clock,ACLK6_MHz,MHz; F6/F7,0.00,149.30,0.00
breakdown,clock,DPU_ACLK_MHz,MHz; F6/F7; binding,245.54,375.00,245.54
breakdown,clock,aclk_binding,tag; binding,ACLK3,ACLK3,ACLK3
breakdown,clock,dpuf_xres_effective,px; F7; effective value,1080,1440,1080
breakdown,clock,dpuf_yres_effective,px; F7; effective value,2340,2560,2340
breakdown,clock,dpuf_resolution_source,source; F7; panel default,panel default,explicit config,panel default
breakdown,clock,dpu_xres_effective,px; F7; effective value,1080,1440,1080
breakdown,clock,dpu_yres_effective,px; F7; effective value,2340,2560,2340
breakdown,clock,dpu_resolution_source,source; F7; panel default,panel default,explicit config,panel default
breakdown,rotation,compression_latency_cycles,cycles; F5,0.00,0.00,0.00
breakdown,rotation,scaler_latency_cycles,cycles; F5,2160.00,1440.00,2160.00
breakdown,rotation,DSC_latency_cycles,cycles; F5,1350.00,1800.00,1350.00
